"City","State","Lon","Lat","Merged"
"Oakland","CA",-122.2711137,37.8043637,"Oakland, CA"
"Albany","CA",-122.2977475,37.88687,"Albany, CA"
"Berkeley","CA",-122.272747,37.8715926,"Berkeley, CA"
"Healdsburg","CA",-122.8691609,38.6104658,"Healdsburg, CA"
"Alameda","CA",-122.2416355,37.7652065,"Alameda, CA"
"El Cerrito","CA",-122.310765,37.9161326,"El Cerrito, CA"
"Santa Rosa","CA",-122.7140548,38.440429,"Santa Rosa, CA"
"Santa Cruz","CA",-122.0307963,36.9741171,"Santa Cruz, CA"
"New Haven","CT",-72.9278835,41.308274,"New Haven, CT"
"Hamden","CT",-72.9026064,41.3838782,"Hamden, CT"
"Brooklyn","NY",-73.9441579,40.6781784,"Brooklyn, NY"
