"City","Country","Lon","Lat","Merged"
"Melbourne","Australia",144.9631608,-37.8142176,"Melbourne, Australia"
"Sydney","Australia",151.2164539,-33.8548157,"Sydney, Australia"
"Montreal","Canada",-73.567256,45.5016889,"Montreal, Canada"
"Vancouver","Canada",-123.1207375,49.2827291,"Vancouver, Canada"
"Grand Cayman","Cayman Islands",-81.2408689,19.3221698,"Grand Cayman, Cayman Islands"
"Havana","Cuba",-82.3665956,23.1135925,"Havana, Cuba"
"Santiago","Cuba",-75.8301537,20.01693,"Santiago, Cuba"
"Prague","Czech Republic",14.4212535,50.0874654,"Prague, Czech Republic"
"Copenhagen","Denmark",12.5700724,55.6867243,"Copenhagen, Denmark"
"Lago Agrio","Ecuador",-76.891111,0.084444,"Lago Agrio, Ecuador"
"Quito","Ecuador",-78.5123274,-0.2201641,"Quito, Ecuador"
"Sinangoe","Ecuador",-77.4258434,0.1324159,"Sinangoe, Ecuador"
"Zábalo","Ecuador",-75.7710909,-0.3795345,"Zábalo, Ecuador"
"Manchester","England",-2.2451148,53.4794892,"Manchester, England"
"Berlin","Germany",13.404954,52.5200066,"Berlin, Germany"
"Antigua","Guatemala",-90.729523,14.5585707,"Antigua, Guatemala"
"Chichicastenango","Guatemala",-91.1089244,14.9449723,"Chichicastenango, Guatemala"
"Cobán","Guatemala",-90.3842527,15.4650586,"Cobán, Guatemala"
"Comalapa","Guatemala",-90.8889678,14.7416463,"Comalapa, Guatemala"
"Grutas de Cunen","Guatemala",-91.0027462,15.3377486,"Grutas de Cunen, Guatemala"
"Guatemala City","Guatemala",-90.5068824,14.6349149,"Guatemala City, Guatemala"
"Lanquín","Guatemala",-89.9801782,15.5752827,"Lanquín, Guatemala"
"Las Pacayas","Guatemala",-90.744827,15.45268,"Las Pacayas, Guatemala"
"Monterrico","Guatemala",-90.4809098,13.8936291,"Monterrico, Guatemala"
"Panajachel","Guatemala",-91.1520965,14.7404929,"Panajachel, Guatemala"
"Patzicía","Guatemala",-90.9210997,14.6278688,"Patzicía, Guatemala"
"Patzún","Guatemala",-91.016696,14.677811,"Patzún, Guatemala"
"Peña Flor","Guatemala",-90.82792833,15.341545,"Peña Flor, Guatemala, Guatemala"
"Santa Cruz del Quiché","Guatemala",-91.1496969,15.0236312,"Santa Cruz del Quiché, Guatemala"
"Santiago Sacatepéquez","Guatemala",-90.6525,14.653056,"Santiago Sacatepéquez, Guatemala"
